DBN,School Name,Number of Test Takers,Critical Reading Mean,Mathematics Mean,Writing Mean,Borough
09X260,Bronx Center for Science and Mathematics ,73,447,495,454,Bronx
09X263,VALIDUS PREPARATORY ACADEMY ,90,359,347,356,Bronx
09X276,LEADERSHIP INSTITUTE ,21,362,380,358,Bronx
09X297,MORRIS ACADEMY FOR COLLABORATIVE STUDIE ,22,388,352,378,Bronx
09X329,DREAMYARD PREPARATORY SCHOOL ,46,394,404,389,Bronx
09X365,ACADEMY FOR LANGUAGE AND TECHNOLOGY ,,,,,Bronx
09X403,Bronx International High School ,37,335,335,340,Bronx
09X404,HIGH SCHOOL FOR EXCELLENCE ,32,366,373,371,Bronx
09X412,BRONX HIGH SCHOOL OF BUSINESS ,35,369,397,366,Bronx
09X413,HIGH SCHOOL MEDICAL SCIENCES ,98,423,450,435,Bronx
09X414,Jonathan Levin HS for Media and Communications ,81,347,353,351,Bronx
09X505,BRONX SCH LAW GOVMT & JUSTICE ,87,413,390,420,Bronx
09X517,Frederick Douglass Academy III Secondary School ,44,399,414,406,Bronx
09X525,Bronx Leadership Academy High School ,116,402,397,396,Bronx
09X543,HIGH SCHOOL VIOLIN AND DANCE ,26,332,379,337,Bronx
10X141,RIVERDALE KINGSBRIDGE ACADEMY ,101,475,479,470,Bronx
10X213,BRONX ENGINEERING & TECH ACADEMY ,36,374,402,364,Bronx
10X225,Theatre Arts Production Company School ,53,382,375,363,Bronx
10X237,"Marie Curie HS for Nur, Med and Allied Health Prof ",48,373,358,366,Bronx
10X243,WEST BRONX ACADEMY FOR FUTURE ,32,365,382,375,Bronx
10X268,Kingsbridge International High School ,40,313,316,296,Bronx
10X284,BRONX SCHOOL OF LAW & FINANCE ,54,404,397,383,Bronx
10X319,Providing Urban Learners Success in Education HS ,10,349,346,364,Bronx
10X342,International School of Liberal Arts ,46,333,336,285,Bronx
10X368,Information Technology Academy ,56,418,411,398,Bronx
10X374,Knowledge & Power Prep Acad International HS ,,,,,Bronx
10X430,WALTON HIGH SCHOOL ,,,,,Bronx
10X430,YABC AT WALTON HIGH SCHOOL ,,,,,Bronx
10X433,HIGH SCHOOL TEACHING PROFESSNS ,50,386,385,381,Bronx
10X434,Belmont Preparatory High School ,65,358,370,346,Bronx
10X437,Fordham High School for the Arts ,42,377,375,375,Bronx
10X438,Fordham Leadership Academy for Business Technolog ,71,375,385,373,Bronx
10X439,Bronx High School of Law and Community Service ,57,389,400,382,Bronx
10X440,DeWitt Clinton High School ,438,425,440,417,Bronx
10X442,BRONX HIGH SCHOOL OF MUSIC ,38,421,432,439,Bronx
10X445,BRONX HIGH SCHOOL OF SCIENCE ,683,632,685,643,Bronx
10X475,JOHN F KENNEDY HIGH SCHOOL ,87,364,375,358,Bronx
10X477,MARBLE HILL SCH INTL STUDIES ,70,406,429,403,Bronx
10X478,YABC AT JOHN F. KENNEDY HIGH SCHOOL ,12,389,383,364,Bronx
10X546,BRONX THEATER HIGH SCHOOL ,50,406,389,388,Bronx
10X549,DISCOVERY HIGH SCHOOL ,31,340,340,351,Bronx
10X660,Grace Dodge Vocational High School ,93,380,385,369,Bronx
10X667,YABC AT GRACE DODGE HIGH SCHOOL ,13,367,378,358,Bronx
10X696,HS of American Studies at Lehman College ,74,635,630,619,Bronx
11X249,Bronx Health School High School 11x249 ,52,363,366,364,Bronx
11X253,High School For Writing & Communication Arts ,57,393,363,387,Bronx
11X265,BRONX LAB SCHOOL ,70,356,370,355,Bronx
11X270,Academy for Scholarship and Entrepreneurship ,37,373,376,362,Bronx
11X275,High School of Computers and Technology ,56,399,402,373,Bronx
11X288,Columbus Institute for Math and Science ,90,432,464,424,Bronx
11X290,BRONX ACAD OF HEALTH CAREERS ,46,369,363,380,Bronx
11X299,ASTOR COLLEGIATE ACADEMY ,38,404,400,388,Bronx
11X415,Christopher Columbus High School ,114,354,373,350,Bronx
11X418,Bronx High School for the Visual Arts ,54,419,403,392,Bronx
11X425,EVANDER CHILDS HIGH SCHOOL ,7,344,306,350,Bronx
11X455,HARRY S TRUMAN HIGH SCHOOL ,201,380,384,379,Bronx
11X456,YABC AT HARRY S. TRUMAN HIGH SCHOOL ,,,,,Bronx
11X513,NEW WORLD HIGH SCHOOL ,43,331,384,341,Bronx
11X514,Bronxwood Peparatory Academy ,21,359,389,350,Bronx
11X541,GLOBAL ENTERPRISE HIGH SCHOOL ,43,372,359,373,Bronx
11X542,PELHAM PREPARATORY ACADEMY ,92,427,416,424,Bronx
11X544,High School for the Contemporary Arts ,40,359,340,338,Bronx
11X545,BRONX AEROSPACE HIGH SCHOOL ,47,393,395,389,Bronx
12X245,NEW DAY ACADEMY ,24,368,349,358,Bronx
12X248,METROPOLITAN HIGH SCHOOL ,42,340,361,335,Bronx
12X251,EXPLORATIONS ACADEMY ,34,364,364,344,Bronx
12X262,Bronx High School Performance & Stage ,41,383,360,387,Bronx
12X267,Bronx Latin School ,,,,,Bronx
12X271,EAST BRONX ACADEMY FOR THE FUTURE ,22,415,390,397,Bronx
12X278,PEACE & DIVERSITY ACAD HIGH SCHOOL ,24,408,400,401,Bronx
12X400,Morris High School ,9,369,374,360,Bronx
12X428,YABC at Monroe Academy ,11,386,345,388,Bronx
12X446,Schomburg Satellite Academy ,14,354,366,364,Bronx
12X480,BRONX REGIONAL HIGH SCHOOL ,12,359,366,359,Bronx
12X550,HIGH SCHOOL OF WORLD CULTURES ,50,291,333,291,Bronx
12X680,Bronx Coalition Community High School ,31,372,366,360,Bronx
12X682,Fannie Lou Hamer Freedom High School ,75,333,326,330,Bronx
12X684,WINGS ACADEMY ,58,386,397,383,Bronx
12X690,MONROE CAMPUS ,47,355,369,366,Bronx
12X692,MONROE ACAD VISUAL ARTS DESGN ,70,346,341,356,Bronx
13K265,Dr Susan S McKinney Secondary School of the Arts ,46,387,369,369,Brooklyn
13K336,Urban Assembly Academy of Business & Community D ,,,,,Brooklyn
13K350,Urban Assembly School of Music and Art ,59,394,371,371,Brooklyn
13K412,BROOKLYN COMMUNITY HIGH SCHOOL ,43,393,356,377,Brooklyn
13K419,Science Skills Center High School ,104,419,421,409,Brooklyn
13K430,BROOKLYN TECHNICAL HIGH SCHOOL ,1047,588,652,581,Brooklyn
13K483,Urban Assembly School of Law and Justice ,104,414,415,412,Brooklyn
13K499,Acorn Association of Community Organization Return ,103,367,361,360,Brooklyn
13K509,FREEDOM ACADEMY ,40,416,386,408,Brooklyn
13K553,BROOKLYN ACADEMY HIGH SCHOOL ,19,403,384,377,Brooklyn
13K575,Bedford Stuyvesant Street Academy High School ,20,366,380,362,Brooklyn
13K595,BEDFORD ACADEMY HIGH SCHOOL ,50,453,469,441,Brooklyn
13K605,George Westinghouse Vocational Technical HS ,87,390,360,373,Brooklyn
13K616,Brooklyn High Sch for Leadership Community Svc ,9,323,281,310,Brooklyn
13K670,BENJAMIN BANNEKER ACADEMY ,168,476,477,445,Brooklyn
14K071,JHS 071 JUAN MOREL CAMPOS ,59,362,369,349,Brooklyn
14K322,FOUNDATIONS ACADEMY ,28,373,377,359,Brooklyn
14K404,ACADEMY FOR YOUNG WRITERS ,70,377,366,365,Brooklyn
14K449,BROOKLYN LATIN SCHOOL ,50,536,534,527,Brooklyn
14K454,GREEN SCHOOL: AN ACADEMY FOR ENVIRONMEN ,52,381,381,366,Brooklyn
14K474,Progress High School For Professional Careers ,102,365,375,373,Brooklyn
14K477,School for Legal Studies ,82,385,390,384,Brooklyn
14K478,"Enterprise, Business and Technology High School ",80,360,390,354,Brooklyn
14K488,BROOKLYN PREP HIGH SCHOOL ,44,397,377,387,Brooklyn
14K558,Williamsburg High School for Architecture & Design ,44,399,393,367,Brooklyn
14K561,WILLIAMSBURG PREP ,58,375,386,369,Brooklyn
14K586,LYONS COMMUNITY SCHOOL ,,,,,Brooklyn
14K610,AUTOMOTIVE HIGH SCHOOL ,73,353,359,340,Brooklyn
14K632,The Frances Perkins Academy ,,,,,Brooklyn
14K640,HARRY VAN ARSDALE HIGH SCHOOL ,,,,,Brooklyn
14K685,El Puente Academy for Peace and Justice ,16,375,386,394,Brooklyn
14K923,YABC at Automative High School ,,,,,Brooklyn
15K429,BROOKLYN SCHOOL GLOBAL STUDIES ,50,374,365,374,Brooklyn
15K448,Brooklyn Secondary Sch for Collaborative Studies ,63,385,380,375,Brooklyn
15K462,"Secondary School for Law, Journalism and Research ",50,406,409,393,Brooklyn
15K463,SECONDARY SCHOOL JOURNALISM ,75,393,372,370,Brooklyn
15K464,SECONDARY SCHOOL FOR RESEARCH ,65,373,395,368,Brooklyn
15K497,SCHOOL INTERNATIONAL STUDIES ,45,402,414,382,Brooklyn
15K519,COBBE HILL SCHOOL AMERICAN STD ,44,365,358,360,Brooklyn
15K520,PACIFIC HIGH SCHOOL ,9,356,352,343,Brooklyn
